ID,ID_Recurso,ID_Base_Recurso,ID_FutBin,ID_FutWiz,Primeiro_Nome,Sobrenome,Nome,Nome_Comun,Altura,Peso,Genero,Data_Nascimento,Idade,ID_Liga,ID_Nacionalidade,ID_Clube,Raridade,Estilo_Jogo,Estilo_Jogo_Plus,Posição,Posição_Alternativa,Movimento_Habilidade,Pé_Ruim,Pé_Bom,Taxa_Trabalho_Ataque,Taxa_Trabalho_Defesa,Estatistica_Total,Estatistica_Total_EmJogo,Cor,Overall,Classificação_Média,Velocidade,Chute,Passe,Drible,Defesa,Fisico,Atributo_Ritmo,Atributo_Chute,Atributo_Passe,Atributo_Drible,Atributo_Defesa,Atributo_Fisico,Atributo_de_Goleiro
19571,0,0,0,0,None,None,Virgil van Dijk,None,193.0,92,male,1991-07-08,32,13,34,9,5,None,None,CB,None,3,3.0,right,medium,high,509.0,2398.0,gold,96,84.0,88,68,82,82,96,93,0,0,0,0,0,0,0
17788,0,0,0,0,Edson,Pelé,Pelé,Pelé,173.0,70,male,1940-10-23,83,2118,54,112658,12,None,None,CAM,None,5,4.0,right,high,medium,504.0,2458.0,gold,95,84.0,93,94,91,94,58,74,0,0,0,0,0,0,0
18913,0,0,0,0,Johan,Cruyff,Johan Cruyff,None,180.0,71,male,1947-04-25,76,2118,34,112658,157,None,None,CF,None,5,5.0,right,high,low,487.0,2354.0,gold,95,81.0,91,92,91,94,44,75,0,0,0,0,0,0,0
19169,0,0,0,0,Zinedine,Zidane,Zinedine Zidane,None,185.0,77,male,1972-06-23,51,2118,18,112658,85,None,None,CAM,None,5,5.0,right,medium,medium,526.0,2539.0,gold,95,87.0,84,91,95,95,76,85,0,0,0,0,0,0,0
19538,0,0,0,0,None,Ronaldo,Ronaldo,Ronaldo,183.0,78,male,1976-09-22,47,2118,54,112658,155,None,None,ST,None,5,5.0,right,high,medium,487.0,2335.0,gold,95,81.0,95,95,81,95,44,77,0,0,0,0,0,0,0
19539,0,0,0,0,Sophia,Smith,Sophia Smith,None,164.0,58,female,2000-08-10,23,2221,95,111140,5,None,None,ST,None,4,5.0,right,high,medium,514.0,2442.0,gold,95,85.0,97,92,88,95,52,90,0,0,0,0,0,0,0
19549,0,0,0,0,Lena,Oberdorf,Lena Oberdorf,None,174.0,68,female,2001-12-19,22,2215,21,175,5,None,None,CDM,None,4,4.0,right,medium,high,516.0,2475.0,gold,95,86.0,84,72,87,86,92,95,0,0,0,0,0,0,0
19550,0,0,0,0,None,Rodri,Rodri,Rodri,191.0,82,male,1996-06-22,27,13,45,10,5,None,None,CDM,None,4,4.0,right,medium,high,538.0,2539.0,gold,95,89.0,88,84,88,90,95,93,0,0,0,0,0,0,0
19560,0,0,0,0,None,Hamm,Hamm,Hamm,0.0,57,female,1972-03-17,51,2118,95,112658,155,None,None,ST,None,5,5.0,right,high,medium,511.0,2477.0,gold,95,85.0,94,95,88,94,57,83,0,0,0,0,0,0,0
19565,0,0,0,0,None,None,Ona Batlle Pascual,None,165.0,55,female,1999-06-10,24,2222,45,241,5,None,None,RB,None,4,4.0,right,high,high,527.0,2495.0,gold,95,87.0,95,80,87,90,91,84,0,0,0,0,0,0,0
19566,0,0,0,0,Rúben,Dias,Rúben Dias,None,187.0,82,male,1997-05-14,26,13,38,10,5,None,None,CB,None,3,4.0,right,medium,high,485.0,2243.0,gold,95,80.0,88,45,81,83,95,93,0,0,0,0,0,0,0
19567,0,0,0,0,Wendie,Renard,Wendie Renard,None,187.0,70,female,1990-07-20,33,2218,18,66,5,None,None,CB,None,4,4.0,right,high,high,510.0,2422.0,gold,95,85.0,87,76,80,81,96,90,0,0,0,0,0,0,0
19569,0,0,0,0,Sakina,Karchaoui,Sakina Karchaoui,None,160.0,55,female,1996-01-26,28,2218,18,73,5,None,None,LB,None,4,4.0,left,high,high,527.0,2521.0,gold,95,87.0,96,72,91,96,90,82,0,0,0,0,0,0,0
19570,0,0,0,0,None,Alisson,Alisson,Alisson,193.0,91,male,1992-10-02,31,13,54,9,5,None,None,GK,None,2,3.0,right,medium,medium,0.0,66.0,gold,95,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19596,0,0,0,0,Alexandra,Popp,Alexandra Popp,None,174.0,65,female,1991-04-06,32,2215,21,175,5,None,None,ST,None,4,5.0,left,high,high,513.0,2477.0,gold,95,85.0,90,95,83,90,60,95,0,0,0,0,0,0,0
19597,0,0,0,0,Cristiano,Ronaldo,Cristiano Ronaldo,None,187.0,85,male,1985-02-05,39,350,38,112139,5,None,None,ST,None,5,4.0,right,high,low,495.0,2432.0,gold,95,82.0,92,97,85,93,45,83,0,0,0,0,0,0,0
17787,0,0,0,0,Ronaldo Luís,Ronaldo,Ronaldo,Ronaldo,183.0,78,male,1976-09-22,47,2118,54,112658,12,None,None,ST,None,5,5.0,right,medium,medium,479.0,2296.0,gold,94,79.0,94,94,79,94,43,75,0,0,0,0,0,0,0
18237,0,0,0,0,Zinedine,Zidane,Zinedine Zidane,None,185.0,77,male,1972-06-23,51,2118,18,112658,12,None,None,CAM,None,5,5.0,right,medium,medium,518.0,2499.0,gold,94,86.0,83,90,94,94,73,84,0,0,0,0,0,0,0
18388,0,0,0,0,Erling,Haaland,Erling Haaland,None,195.0,94,male,2000-07-21,23,13,36,10,50,None,None,ST,None,4,3.0,left,high,medium,486.0,2316.0,gold,94,81.0,93,96,71,86,48,92,0,0,0,0,0,0,0
18439,0,0,0,0,Robert,Lewandowski,Robert Lewandowski,None,185.0,81,male,1988-08-21,35,53,37,241,50,None,None,ST,None,4,4.0,right,high,medium,477.0,2329.0,gold,94,79.0,80,93,82,90,46,86,0,0,0,0,0,0,0
18908,0,0,0,0,None,Müller,Müller,Müller,176.0,74,male,1945-11-03,78,2118,21,112658,157,None,None,ST,None,4,4.0,right,high,medium,465.0,2277.0,gold,94,77.0,88,94,77,85,46,75,0,0,0,0,0,0,0
18910,0,0,0,0,Ferenc,Puskás,Ferenc Puskás,None,172.0,72,male,1927-04-01,96,2118,23,112658,157,None,None,CF,None,4,3.0,left,high,medium,491.0,2392.0,gold,94,81.0,91,95,91,92,46,76,0,0,0,0,0,0,0
18916,0,0,0,0,None,Ronaldinho,Ronaldinho,Ronaldinho,180.0,78,male,1980-03-21,43,2118,54,112658,157,None,None,LW,None,5,4.0,right,high,low,491.0,2350.0,gold,94,81.0,92,90,92,96,39,82,0,0,0,0,0,0,0
19157,0,0,0,0,Erling,Haaland,Erling Haaland,None,195.0,94,male,2000-07-21,23,13,36,10,95,None,None,ST,None,4,3.0,left,high,medium,494.0,2355.0,gold,94,82.0,93,96,72,86,53,94,0,0,0,0,0,0,0
19561,0,0,0,0,Jeremie,Frimpong,Jeremie Frimpong,None,171.0,64,male,2000-12-10,23,19,34,32,5,None,None,RWB,None,4,4.0,right,high,high,535.0,2487.0,gold,94,89.0,99,80,89,95,88,84,0,0,0,0,0,0,0
19562,0,0,0,0,Theo,Hernández,Theo Hernández,None,184.0,81,male,1997-10-06,26,31,18,47,5,None,None,LB,None,4,4.0,left,high,high,536.0,2521.0,gold,94,89.0,98,82,87,89,88,92,0,0,0,0,0,0,0
19563,0,0,0,0,Millie,Bright,Millie Bright,None,178.0,76,female,1993-08-21,30,2216,14,5,5,None,None,CB,None,3,4.0,right,low,high,521.0,2464.0,gold,94,86.0,85,80,84,82,94,96,0,0,0,0,0,0,0
19564,0,0,0,0,Mary,Earps,Mary Earps,None,173.0,68,female,1993-03-07,30,2216,14,11,5,None,None,GK,None,3,3.0,right,medium,medium,0.0,35.0,gold,94,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0
17780,0,0,0,0,Johan,Cruyff,Johan Cruyff,None,180.0,71,male,1947-04-25,76,2118,34,112658,12,None,None,CF,None,5,5.0,right,high,low,479.0,2315.0,gold,93,79.0,90,91,90,93,42,73,0,0,0,0,0,0,0
17781,0,0,0,0,Mia,Hamm,Hamm,Hamm,0.0,57,female,1972-03-17,51,2118,95,112658,12,None,None,ST,None,5,5.0,right,high,medium,498.0,2411.0,gold,93,83.0,92,93,86,92,54,81,0,0,0,0,0,0,0
17786,0,0,0,0,Ronaldinho,Ronaldinho,Ronaldinho,Ronaldinho,180.0,78,male,1980-03-21,43,2118,54,112658,12,None,None,LW,None,5,4.0,right,high,low,483.0,2311.0,gold,93,80.0,91,89,90,95,38,80,0,0,0,0,0,0,0
18438,0,0,0,0,Luka,Modric,Luka Modric,None,172.0,66,male,1985-09-09,38,53,10,243,50,None,None,CM,None,4,4.0,right,medium,medium,511.0,2519.0,gold,93,85.0,82,84,94,93,83,75,0,0,0,0,0,0,0
18907,0,0,0,0,Thierry,Henry,Thierry Henry,None,188.0,83,male,1977-08-17,46,2118,18,112658,157,None,None,ST,None,4,4.0,right,medium,medium,491.0,2340.0,gold,93,81.0,94,91,83,90,53,80,0,0,0,0,0,0,0
19168,0,0,0,0,Paolo,Maldini,Paolo Maldini,None,186.0,83,male,1968-06-26,55,2118,27,112658,85,None,None,CB,None,2,4.0,right,medium,high,469.0,2163.0,gold,93,78.0,87,56,76,70,96,84,0,0,0,0,0,0,0
19238,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,68,None,None,LW,None,5,4.0,right,high,low,489.0,2333.0,gold,93,81.0,98,92,84,94,40,81,0,0,0,0,0,0,0
19239,0,0,0,0,Harry,Kane,Harry Kane,None,188.0,89,male,1993-07-28,30,19,14,21,68,None,None,ST,None,3,5.0,right,high,high,491.0,2394.0,gold,93,81.0,80,96,88,88,52,87,0,0,0,0,0,0,0
19295,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,79,None,None,ST,None,5,4.0,right,high,low,486.0,2319.0,gold,93,81.0,98,92,83,94,39,80,0,0,0,0,0,0,0
19374,0,0,0,0,Mané,Garrincha,Mané Garrincha,None,169.0,72,male,1933-10-28,90,2118,54,112658,35,None,None,RW,None,5,4.0,right,high,low,474.0,2299.0,gold,93,79.0,90,86,93,96,41,68,0,0,0,0,0,0,0
19375,0,0,0,0,Lev,Yashin,Lev Yashin,None,189.0,82,male,1929-10-22,94,2118,40,112658,35,None,None,CB,None,2,3.0,right,medium,high,471.0,2276.0,gold,93,78.0,85,60,71,76,88,91,0,0,0,0,0,0,0
19433,0,0,0,0,Neymar,Jr,Neymar Jr,None,175.0,68,male,1992-02-05,32,350,54,605,116,None,None,ST,None,5,5.0,right,high,medium,473.0,2341.0,gold,93,78.0,89,90,89,96,41,68,0,0,0,0,0,0,0
19445,0,0,0,0,Neymar,Jr,Neymar Jr,None,175.0,68,male,1992-02-05,32,350,54,605,108,None,None,LW,None,5,5.0,right,high,medium,472.0,2329.0,gold,93,78.0,91,87,90,97,41,66,0,0,0,0,0,0,0
19536,0,0,0,0,Patrick,Vieira,Patrick Vieira,None,192.0,83,male,1976-06-23,47,2118,18,112658,155,None,None,CM,None,4,4.0,right,medium,high,531.0,2500.0,gold,93,88.0,87,84,86,88,92,94,0,0,0,0,0,0,0
19537,0,0,0,0,Petr,Cech,Petr Cech,None,196.0,90,male,1982-05-20,41,2118,12,112658,155,None,None,GK,None,2,3.0,left,medium,medium,0.0,69.0,gold,93,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19542,0,0,0,0,George,Best,George Best,None,175.0,65,male,1946-05-22,77,2118,35,112658,155,None,None,RW,None,5,4.0,right,high,medium,498.0,2400.0,gold,93,83.0,93,91,86,94,61,73,0,0,0,0,0,0,0
19545,0,0,0,0,Bruno,Fernandes,Bruno Fernandes,None,179.0,69,male,1994-09-08,29,13,38,11,51,None,None,CAM,None,4,4.0,right,high,high,518.0,2546.0,gold,93,86.0,82,92,94,88,80,82,0,0,0,0,0,0,0
19558,0,0,0,0,Lothar,Matthäus,Lothar Matthäus,None,174.0,71,male,1961-03-21,62,2118,21,112658,155,None,None,CM,None,4,4.0,right,high,high,534.0,2584.0,gold,93,89.0,91,90,91,84,93,85,0,0,0,0,0,0,0
19559,0,0,0,0,Rio,Ferdinand,Rio Ferdinand,None,189.0,87,male,1978-11-07,45,2118,14,112658,155,None,None,CB,None,3,3.0,right,medium,high,470.0,2187.0,gold,93,78.0,87,53,70,77,93,90,0,0,0,0,0,0,0
19568,0,0,0,0,None,Sawa,Sawa,Sawa,0.0,54,female,1978-09-06,45,2118,163,112658,155,None,None,CM,None,4,4.0,right,high,high,525.0,2518.0,gold,93,87.0,86,88,93,93,85,80,0,0,0,0,0,0,0
19610,0,0,0,0,Harry,Kane,Harry Kane,None,188.0,89,male,1993-07-28,30,19,14,21,64,None,None,ST,None,4,5.0,right,high,high,491.0,2394.0,gold,93,81.0,80,96,88,88,52,87,0,0,0,0,0,0,0
19624,0,0,0,0,Luka,Modric,Luka Modric,None,172.0,66,male,1985-09-09,38,53,10,243,64,None,None,CM,None,4,4.0,right,medium,medium,511.0,2514.0,gold,93,85.0,82,84,94,93,83,75,0,0,0,0,0,0,0
17776,0,0,0,0,Birgit,Prinz,Prinz,Prinz,0.0,0,male,1900-01-01,124,2118,21,112658,12,None,None,ST,None,3,4.0,right,high,medium,477.0,2274.0,gold,92,79.0,83,92,80,82,52,88,0,0,0,0,0,0,0
17777,0,0,0,0,Bobby,Charlton,Charlton,Charlton,0.0,0,male,1900-01-01,124,2118,14,112658,12,None,None,CAM,None,4,5.0,left,high,medium,483.0,2360.0,gold,92,80.0,90,91,87,91,50,74,0,0,0,0,0,0,0
17778,0,0,0,0,Gerd,Müller,Müller,Müller,176.0,74,male,1945-11-03,78,2118,21,112658,12,None,None,ST,None,4,4.0,right,high,medium,458.0,2241.0,gold,92,76.0,87,92,76,85,44,74,0,0,0,0,0,0,0
17779,0,0,0,0,Paolo,Maldini,Paolo Maldini,None,186.0,83,male,1968-06-26,55,2118,27,112658,12,None,None,CB,None,2,4.0,right,medium,high,460.0,2124.0,gold,92,76.0,85,55,74,69,95,82,0,0,0,0,0,0,0
17785,0,0,0,0,Mané,Garrincha,Mané Garrincha,None,169.0,72,male,1933-10-28,90,2118,54,112658,12,None,None,RW,None,5,4.0,right,medium,low,466.0,2259.0,gold,92,77.0,89,85,92,94,40,66,0,0,0,0,0,0,0
18238,0,0,0,0,Lev,Yashin,Lev Yashin,None,189.0,82,male,1929-10-22,94,2118,40,112658,12,None,None,GK,None,1,3.0,right,medium,medium,0.0,68.0,gold,92,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0
18239,0,0,0,0,Ferenc,Puskás,Ferenc Puskás,None,172.0,72,male,1927-04-01,96,2118,23,112658,12,None,None,CF,None,4,3.0,left,high,medium,483.0,2353.0,gold,92,80.0,90,94,89,91,45,74,0,0,0,0,0,0,0
18387,0,0,0,0,Victor,Osimhen,Victor Osimhen,None,185.0,78,male,1998-12-29,25,31,133,116365,50,None,None,ST,None,3,4.0,right,high,medium,480.0,2244.0,gold,92,80.0,94,91,74,88,46,87,0,0,0,0,0,0,0
18522,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,22,None,None,ST,None,5,4.0,right,high,low,479.0,2280.0,gold,92,79.0,98,91,81,93,37,79,0,0,0,0,0,0,0
18570,0,0,0,0,Harry,Kane,Harry Kane,None,188.0,89,male,1993-07-28,30,19,14,21,22,None,None,ST,None,3,5.0,right,high,high,482.0,2351.0,gold,92,80.0,78,95,87,86,51,85,0,0,0,0,0,0,0
18627,0,0,0,0,Andrea,Pirlo,Andrea Pirlo,None,0.0,0,male,1900-01-01,124,2118,27,112658,168,None,None,CM,None,5,4.0,right,medium,medium,490.0,2394.0,gold,92,81.0,80,83,95,91,71,70,0,0,0,0,0,0,0
18654,0,0,0,0,Harry,Kane,Harry Kane,None,188.0,89,male,1993-07-28,30,19,14,21,3,None,None,ST,None,3,5.0,right,high,high,477.0,2343.0,gold,92,79.0,72,95,87,86,51,86,0,0,0,0,0,0,0
18655,0,0,0,0,Erling,Haaland,Erling Haaland,None,195.0,94,male,2000-07-21,23,13,36,10,3,None,None,ST,None,3,3.0,left,high,medium,469.0,2232.0,gold,92,78.0,90,94,68,82,46,89,0,0,0,0,0,0,0
18687,0,0,0,0,None,Eusébio,Eusébio,Eusébio,175.0,76,male,1942-01-25,82,2118,38,112658,168,None,None,CF,None,4,5.0,right,high,medium,488.0,2384.0,gold,92,81.0,93,93,85,92,46,79,0,0,0,0,0,0,0
18688,0,0,0,0,Antunes,Coimbra,Antunes Coimbra,None,0.0,71,male,1953-03-03,70,2118,54,112658,168,None,None,CAM,None,5,5.0,right,high,medium,505.0,2447.0,gold,92,84.0,90,93,92,92,65,73,0,0,0,0,0,0,0
18699,0,0,0,0,None,None,Kevin De Bruyne,None,181.0,75,male,1991-06-28,32,13,7,10,151,None,None,CM,None,4,5.0,right,high,medium,497.0,2400.0,gold,92,82.0,78,90,95,88,66,80,0,0,0,0,0,0,0
18817,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,3,None,None,LW,None,5,4.0,right,high,low,481.0,2289.0,gold,92,80.0,98,91,81,93,38,80,0,0,0,0,0,0,0
18892,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,79,None,None,ST,None,5,4.0,right,high,low,481.0,2291.0,gold,92,80.0,98,91,82,93,38,79,0,0,0,0,0,0,0
18893,0,0,0,0,Marie,Katoto,Marie Katoto,None,177.0,66,female,1998-11-01,25,2218,18,73,33,None,None,ST,None,4,4.0,right,high,medium,456.0,2205.0,gold,92,76.0,85,90,80,86,41,74,0,0,0,0,0,0,0
18896,0,0,0,0,Neymar,Jr,Neymar Jr,None,175.0,68,male,1992-02-05,32,350,54,605,33,None,None,CAM,None,5,5.0,right,high,medium,468.0,2313.0,gold,92,78.0,89,87,89,96,41,66,0,0,0,0,0,0,0
18903,0,0,0,0,Marcos,Cafú,Marcos Cafú,None,176.0,75,male,1970-06-07,53,2118,54,112658,157,None,None,RWB,None,4,3.0,right,high,medium,493.0,2328.0,gold,92,82.0,91,58,85,86,89,84,0,0,0,0,0,0,0
18914,0,0,0,0,Vinícius,Júnior,Vinícius Júnior,None,176.0,73,male,2000-07-12,23,53,54,243,33,None,None,LW,None,5,4.0,right,high,medium,465.0,2184.0,gold,92,77.0,98,86,82,93,32,74,0,0,0,0,0,0,0
18924,0,0,0,0,Kadidiatou,Diani,Kadidiatou Diani,None,168.0,64,female,1995-04-01,28,2218,18,66,33,None,None,RW,None,4,4.0,right,high,high,501.0,2368.0,gold,92,83.0,92,88,87,91,60,83,0,0,0,0,0,0,0
18926,0,0,0,0,Iker,Casillas,Iker Casillas,None,185.0,80,male,1981-05-20,42,2118,45,112658,157,None,None,GK,None,1,3.0,left,medium,medium,0.0,68.0,gold,92,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0
19007,0,0,0,0,Karim,Benzema,Karim Benzema,None,185.0,81,male,1987-12-19,36,350,18,607,37,None,None,CF,None,4,4.0,right,medium,medium,470.0,2272.0,gold,92,78.0,83,90,85,90,41,81,0,0,0,0,0,0,0
19010,0,0,0,0,Lionel,Messi,Lionel Messi,None,169.0,67,male,1987-06-24,36,39,52,112893,37,None,None,CF,None,4,4.0,left,low,low,459.0,2254.0,gold,92,76.0,82,88,91,95,35,68,0,0,0,0,0,0,0
19180,0,0,0,0,Zinedine,Zidane,Zinedine Zidane,None,185.0,77,male,1972-06-23,51,2118,18,112658,85,None,None,CAM,None,5,5.0,right,high,medium,508.0,2428.0,gold,92,84.0,85,86,90,90,70,87,0,0,0,0,0,0,0
19303,0,0,0,0,None,None,Marco van Basten,None,188.0,78,male,1964-10-31,59,2118,34,112658,35,None,None,CAM,None,4,4.0,right,medium,medium,461.0,2268.0,gold,92,76.0,84,87,90,88,40,72,0,0,0,0,0,0,0
19322,0,0,0,0,None,None,Alexia Putellas Segura,None,173.0,67,female,1994-02-04,30,2222,45,241,117,None,None,CM,None,5,5.0,left,high,medium,513.0,2504.0,gold,92,85.0,83,91,92,93,74,80,0,0,0,0,0,0,0
19372,0,0,0,0,Dennis,Bergkamp,Dennis Bergkamp,None,183.0,78,male,1969-05-10,54,2118,34,112658,35,None,None,CM,None,4,4.0,right,high,high,492.0,2394.0,gold,92,82.0,85,78,92,88,74,75,0,0,0,0,0,0,0
19373,0,0,0,0,None,None,Raúl González Blanco,None,180.0,68,male,1977-06-27,46,2118,45,112658,35,None,None,ST,None,4,5.0,left,high,medium,474.0,2300.0,gold,92,79.0,88,92,82,90,47,75,0,0,0,0,0,0,0
19392,0,0,0,0,Mohamed,Salah,Mohamed Salah,None,175.0,71,male,1992-06-15,31,13,111,9,117,None,None,ST,None,4,3.0,left,high,medium,490.0,2361.0,gold,92,81.0,91,92,83,90,48,86,0,0,0,0,0,0,0
19401,0,0,0,0,Mohamed,Salah,Mohamed Salah,None,175.0,71,male,1992-06-15,31,13,111,9,3,None,None,RW,None,4,3.0,left,high,medium,491.0,2370.0,gold,92,81.0,92,91,86,91,49,82,0,0,0,0,0,0,0
19535,0,0,0,0,Franck,Ribéry,Franck Ribéry,None,170.0,72,male,1983-04-07,40,2118,18,112658,155,None,None,LW,None,5,5.0,right,high,medium,478.0,2284.0,gold,92,79.0,92,90,90,92,42,72,0,0,0,0,0,0,0
19554,0,0,0,0,Alex,Morgan,Alex Morgan,None,168.0,62,female,1989-07-02,34,2221,95,116312,90,None,None,ST,None,4,5.0,left,high,medium,487.0,2322.0,gold,92,81.0,88,92,84,91,50,82,0,0,0,0,0,0,0
19557,0,0,0,0,Philipp,Lahm,Philipp Lahm,None,170.0,65,male,1983-11-11,40,2118,21,112658,155,None,None,RB,None,4,4.0,right,high,high,509.0,2450.0,gold,92,84.0,91,72,87,87,92,80,0,0,0,0,0,0,0
19606,0,0,0,0,Mohamed,Salah,Mohamed Salah,None,175.0,71,male,1992-06-15,31,13,111,9,64,None,None,RW,None,4,4.0,left,high,medium,491.0,2370.0,gold,92,81.0,92,91,86,91,49,82,0,0,0,0,0,0,0
19607,0,0,0,0,Vinícius,Júnior,Vinícius Júnior,None,176.0,73,male,2000-07-12,23,53,54,243,64,None,None,ST,None,5,4.0,right,high,high,465.0,2184.0,gold,92,77.0,98,86,82,93,32,74,0,0,0,0,0,0,0
19608,0,0,0,0,Kadidiatou,Diani,Kadidiatou Diani,None,168.0,64,female,1995-04-01,28,2218,18,66,64,None,None,RW,None,4,4.0,right,high,high,501.0,2368.0,gold,92,83.0,92,88,87,91,60,83,0,0,0,0,0,0,0
1,0,0,0,0,Kylian,Mbappé,Kylian Mbappé,None,182.0,75,male,1998-12-20,25,16,18,73,1,None,None,ST,None,5,4.0,right,high,low,473.0,2250.0,gold,91,78.0,97,90,80,92,36,78,0,0,0,0,0,0,0
2,0,0,0,0,Alexia,Putellas Segura,Alexia Putellas Segura,Alexia Putellas,173.0,67,female,1994-02-04,30,2222,45,241,1,None,None,CM,None,5,5.0,left,high,medium,505.0,2466.0,gold,91,84.0,82,90,91,92,72,78,0,0,0,0,0,0,0
3,0,0,0,0,Erling,Haaland,Erling Haaland,None,195.0,94,male,2000-07-21,23,13,36,10,1,None,None,ST,None,3,3.0,left,high,medium,461.0,2191.0,gold,91,76.0,89,93,66,80,45,88,0,0,0,0,0,0,0
4,0,0,0,0,Kevin,De Bruyne,Kevin De Bruyne,None,181.0,75,male,1991-06-28,32,13,7,10,1,None,None,CM,None,4,5.0,right,high,medium,484.0,2349.0,gold,91,80.0,72,88,94,87,65,78,0,0,0,0,0,0,0
17671,0,0,0,0,Wesley,Sneijder,Wesley Sneijder,None,171.0,67,male,1984-06-09,39,31,34,114605,171,None,None,CAM,None,5,5.0,right,medium,low,490.0,2367.0,gold,91,81.0,85,87,93,89,56,80,0,0,0,0,0,0,0
17672,0,0,0,0,Gianluca,Vialli,Gianluca Vialli,None,180.0,77,male,1964-07-09,59,31,27,114605,171,None,None,ST,None,4,4.0,right,high,medium,466.0,2221.0,gold,91,77.0,90,91,74,85,44,82,0,0,0,0,0,0,0
17774,0,0,0,0,Roberto,Baggio,Roberto Baggio,None,174.0,73,male,1967-02-18,56,2118,27,112658,12,None,None,CAM,None,5,4.0,right,medium,low,445.0,2165.0,gold,91,74.0,84,82,90,91,38,60,0,0,0,0,0,0,0
17775,0,0,0,0,Homare,Sawa,Sawa,Sawa,0.0,54,female,1978-09-06,45,2118,163,112658,12,None,None,CM,None,4,4.0,right,high,high,512.0,2457.0,gold,91,85.0,84,87,91,91,83,76,0,0,0,0,0,0,0
